question1,question2,is_duplicate
г« еж  Џ—нЁ «б‘нжЏнш…њ,г« гЏдм «б‘нжЏнш…њ,1
гд еж ’«Ќ» √жб гж”жЏ… Ў»н… Џ«бгн…њ,гд я » √жб гж”жЏ… Ў»н…њ,1
г« ен ќбЎ… «б“»«ѕн ж«б»— ё«б б »нн÷ «бжћењ,г« ен ќбЎ… «б»— ё«б б »нн÷ «бжћењ,0
г« ен гƒбЁ«  √Ќгѕ ‘жён Ён гћ«б «б—ж«н… ж«бг”—Ќн…њ,»г  гн“ √Ќгѕ ‘жёнњ,0
бг«–« ”гн «б»Ќ— «бгн  »е–« «б«”гњ,бг«–« √Ўбё Џбм «б»Ќ— «бгн  е–« «б«”гњ,1
янЁ «Џгб Ё‘«— »«бя«—«гнб »«б”я— «б»днњ,г« янЁн…  Ќ÷н— Ё‘«— »«бя«—«гнб »«б”я— «б«»н÷ њ,0
янЁ «Ќ÷— яЏ» «бџ“«б »«ббж“њ,гд Ў—ё  Ќ÷н—  яЏ» «бџ“«б »«ббж“њ,1
»г«–« нЁнѕ г«Ѕ «бж—ѕ «б»‘—…њ,г« еж г«Ѕ «бж—ѕњ,0
г«  Џ—нЁ «беж«г‘ њ,г« ”б»н«  ж÷Џ «беж«г‘ њ,0
янЁ «Ќ÷— «бяня «бгЌ‘н »«бя—нг…њ,гд Ў—ё  Ќ÷н— «бя—нг…њ,0
г« ен Ў—нё… г«”я «бЏ”б б Ё нЌ «б»‘—… «бѕедн…њ,янЁ √” ќѕг «бЏ”б б Ё нЌ »‘— нњ,0
г«–« н√ябжд ’џ«— «б÷Ё«ѕЏњ,г« џ–«Ѕ ’џ«— «б÷Ё«ѕЏњ,1
г« Ў—нё…  Ќ÷н— Ќбм «бѕжд«  »«бдж нб«њ,гд Ў—ё  Ќ÷н— «бѕжд« њ,0
г«  Џ—нЁ «бгн“«дн… њ,гд ”б»н«   — н» «бгн“«дн…њ,0
г« ен «ббџ«  «бг ЌѕЋ »е« Ён «б’ндњ,г« ен д”»… «бг ЌѕЋнд ббџ… «бгдѕ—ндн… Ён √дЌ«Ѕ «бЏ«бгњ,0
Ён «н ѕжб… ўе—  «б‘нжЏн… њ,г« ен «б‘нжЏнш…њ,0
г« «Џ—«÷ «б«я“нг«њ,г« «Џ—«÷ «б‘—мњ,0
гд Ў—ё  Ќ÷н—  √—д» г”»шяњ,гд Ў—ё  Ќ÷н— √—д» г”бжёњ,0
янЁ я«д «б”б«г Ён «бЏ«бг «б≈џ—нён ж«б—жг«дншњ,г« еж «б”б«г њ,0
бгд ё’нѕ… ж«Ќ—ш ёб»«е ггд ёб»е ‘»г њ,",г« ен гд«”»… ё’нѕ… ж«Ќ—ш ёб»«е ггд ёб»е ‘»г «бг д»шнњ",0
г« Ў—нё…  Ќ÷н— «б»«д яня њ,гд Ў—ё  Ќ÷н— «б»«д яня »«б‘жяжб« …њ,0
г« Ў—нё…  Ќ÷н—  Ќбжм г«ежњ,гд Ў—ё  Ќ÷н—  Ќбжм г«ежњ,1
Ён √н Џ«г џ“« «бд»н џ“ж… Ќг—«Ѕ «б√”ѕњ,г м жёЏ  џ“ж… »дн бЌн«дњ,0
г« еж ѕЏ«Ѕ «б«” ќ«—…њ,г« еж ѕЏ«Ѕ ’б«… «б«” ќ«—…њ,1
гд Ў—ё  Ќ÷н— «б ж”  »«бЋжг ж«б»ёѕжд”њ,гд Ў—ё  Ќ÷н— «б ж”  њ,0
г« Ў—нё…  Ќ÷н— «б»уЎш »«б—г«д њ,янЁ «Ќ÷— «б»уЎш »«б—г«дњ,1
янЁ «Ќ÷— яня… «бд”я«Ёне «б»«—ѕ…њ,гд Ў—ё  Ќ÷н— яня… њ,0
√нд  жћѕ ”«Ќ… ћ«гЏ «бЁд«њ,Ён √н гѕнд…  жћѕ ”«Ќ… ћ«гЏ «бЁд«њ,1
янЁ н’дЏ «бЁ«“бнд гд ‘гЏ «б≈д«—…њ,янЁ н’дЏ «бЁ«“бнд гд ‘гЏ «б≈д«—…њ,1
еб ЁЏб«р «ббн“— нЏ«бћ «бдг‘њ,г м  Ќ «ћ «б»‘—… ббн“—њ,0
г« Ў—нё…  Ќ÷н— Џћнд… »н “« г“ќ—Ё… њ,гд Ў—ё  Ќ÷н— Џћнд… »н “«  њ,0
√нд  ёЏ «бд—жнћ Ён ё«—… √ж—ж»«њ,√нд нжћѕ «бћ»б «б√”жѕ Ён ё«—… √ж—ж»«њ,0
г« еж Џб«ћ ё—Ќ… «бгЏѕ…њ,г« еж Џб«ћ ё—Ќ… «бёѕгњ,0
г м ÷хг  гя… «бгя—г… жћѕ… бб”Џжѕн…њ,Ён √н Џ«г  г ÷г яб« гд гя… «бгя—г… жћѕ… ≈бм «б”Џжѕн…њ,1
г« ен яЋ«Ё… «б»— џ«б «б”я«дн…њ,г« Џѕѕ ”я«д «б»— џ«бњ,1
г« ен ж”«∆б «б« ’«б «бЌѕнЋ…њ,г«–« дё’ѕ »ж”«∆б «б« ’«б «бёѕнг…њ,0
г« «бдећ «б–н   »Џе «бгћб… «б≈бя —ждн… Ён д‘— гЌ ж«е«њ,янЁ  д‘— «бгћб… «б≈бя —ждн… гЌ ж«е«њ,1
г« ен ’д«ѕнё «б«” Ћг«— њ,г« ен ”б»н«  ’д«ѕнё «б«” Ћг«— њ,0
г« «бгё’жѕ »ж”«∆б «б« ’«бњ,г«–« дЏдн »ж”«∆б «б« ’«бњ,1
яг  »бџ г”«Ќ… ежбдѕ«њ,г« ен «бг”«Ќ… «б≈ћг«бн… Ён ежбдѕ«њ,1
янЁ «Ќ÷— гяЏ»«  «б”гя «бгёбн…њ,гд Ў—ё  Ќ÷н— «б”гяњ,0
янЁ √Ќгшб Ёнѕнж гд «бнж нж»њ,г« еж «бнж нж»њ,0
гд Ў—ё  Ќ÷н— ёг— «бѕндњ,гд Ў—ё  Ќ÷н— ‘—«» ёг— «бѕндњ,0
»г«–«   г Џ «б» —«Ѕњ,г« «ббё» «б–н  бё» »е «б» —«Ѕњ,0
»г«–«  ‘ е— ”«Џ… »нћ »ндњ,г« ж“д ћ—” ”«Џ… »нћ »ндњ,0
гд ен «бѕжб… «бЏ—»н… «б н  Ќ б «б’ѕ«—… Ён «” ќѕ«г  жн —њ,янЁ √”ћб «бќ—жћ гд  жн —њ,0
г« еж  Џ—нЁ г’«ѕ— «бгЏбжг«  њ,г« еж «‘ ё«ё ябг… гЏбжг« њ,0
гд Ў—ё  Ќ÷н— ЁЎ¬∆— «б»н»—жднњ,гд Ў—ё  Ќ÷н— »н “« «б»н»—жднњ,0
г« ен ггн“«   Ў»нё «бЁ«н»—њ,»г н гн“  Ў»нё «бЁ«н»—њ,1
гд Ў—ё  Ќ÷н— «б»н “« »«б жд…њ,гд Ў—ё  Ќ÷н— «б»н “«  њ,0
г« еж «б«”гд  «бЏ«ѕн њ,г« еж «б«”гд  «бЏ«ѕн њ,1
г« еж √я»— г”ћѕ Ён «дѕждн”н«њ,√нд  жћѕ я« ѕ—«∆н… ћ«я— «њ,0
гд Ў—ё  Ќ÷н— яня… «б‘жяжб« … ж«бгж“њ,гд Ў—ё  Ќ÷н— Ў—нё… яня… «бгж“њ,0
яг  »бџ д”»… «б√ж—ж»ннд Ён днж“бдѕ«њ,г« «”г «бё»нб… «б н нжћѕ Ёне« «б”я«д «бднж“бдѕннжд «б√’бнждњ,0
янЁ «Ќ÷— яня… «б“»«ѕн ѕжд »н÷ њ,гд Ў—ё  Ќ÷н— яня… «б“»«ѕн ѕжд »н÷ њ,1
г« ен «”»«» ўеж— «б—»Ќ њ,янЁ  дћЌ «б‘—я«  њ,1
г« Ў—нё…  Ќ÷н— ”бЎ… «б‘гдѕ— њ,гд Ў—ё  Ќ÷н— ”бЎ… «б‘гдѕ— њ,1
г« ен ѕн«д… «б”Џжѕн… «б—”гн…њ,г« гд«ќ «б”Џжѕн…њ,0
г м ўе—  «бѕжб… «б”Џжѕн… «бЋ«бЋ…њ,г м ўе—  «бѕжб… «б”Џжѕн… «бЋ«дн…њ,0
г« ен «бгн—гн…њ,»г«–«   гн“ «бгн—гн…њ,1
√нд  ёЏ √»—«ћ »н —жд«”њ,√нд  жћѕ √»—«ћ » —жд«”њ,1
г« Ў—нё…  Ќ÷н— я«д жд ’нднњ,гд Ў—ё  Ќ÷н— «бѕћ«ћ ’нднњ,0
г« еж  Џ—нЁ «б—”«∆б «б«ѕ«—н… њ,г« ен Ёж«∆ѕ «б—”«∆б «б«ѕ«—н… њ,0
г« ен «”»«» «бЋ«бжбњ,г« ен «”»«» «бЋж«бнбњ,1
гд ё«г »»д«Ѕ  гЋ«б «бг”нЌ «бЁ«ѕнњ,гд еж «бгедѕ” «б–н ё«г »»д«Ѕ  гЋ«б «бг”нЌ «бЁ«ѕнњ,1
г«–« дё’ѕ »ж”«∆б «б« ’«б «бЌѕнЋ…њ,г«–« дЏдн »ж”«∆б «б« ’«б «бЌѕнЋ…њ,1
г« Џ«’г… ћгеж—н… «бяждџжњ,г« ен Џ«’г… ћгеж—н… я«дџжњ,1
г« Ў—нё…  Ќ÷н— яня… «б—е‘ њ,янЁ «Ќ÷— яня… «б—е‘њ,1
яг Џѕѕ ”я«д  ‘ждџ ‘ндџњ,г« Џѕѕ «б”я«д Ён »яндњ,0
Ён √н Џ«г √д‘∆ «бё«джд «бѕ” ж—н Ён ядѕ«њ,Ён √н Џ«г √ќ–  »—нЎ«дн« жб«н… джЁ« ”яж‘«њ,0
бг бё» «б‘«Џ— «б√Џ‘м »е–« «ббё»њ,бг бё» «б‘«Џ— «б√Џ‘м »е–« «ббё»њ,1
гд Ў—ё  Ќ÷н— «бЁхёЏ »«б“н њ,гд Ў—ё  Ќ÷н— «бЁхёЏ њ,0
г« ен √ће“… «бджян« «б н  ѕЏг дў«г жндѕж“њ,еб  ” ќѕг ‘—я… джян« дў«г «б√дѕ—жнѕ Ён яб «ће“ е« «бќбжн…њ,1
г« ен ќЎж«  «б џб» Џбм «бќжЁ гд  гж«ће… «бд«”њ,г« еж «бќжЁњ,0
Ён √н Џ«г я«д  џ“ж… жѕ«дњ,г м жёЏ  џ“ж… »ѕ—њ,0
г«–« нгн“ гЏбг ж«ѕн —г Џд џн—е гд «бгЏ«бгњ,г« д”»… «бг Џбгнд Ён «б√—ѕдњ,0
≈бм г«–«   ё”г ё«—… √жён«дж”н«њ,√нд  ёЏ ё«—… √жён«дж”н«њ,0
г« Ў—нё…  Ќ÷н— яня «бЁ«днб« гЏ ’б’… «б—шг«д  њ,гд Ў—ё  Ќ÷н— яня  «бЁ«днб« гЏ ’б’… «б—шг«д њ,1
г« ен Џ«’г… √жџдѕ«њ,г« Џ«’г…  д“«дн«њ,0
г« ен «бёнг «бћг«бн…њ,гд ќ’«∆’ «бёнг њ,0
г« ен «бЎ—нё… «б’ЌнЌ… б дўнЁ «б»‘—… «бѕедн…њ,г« ен «б»‘—… «бѕедн…њ,0
г« Џ«’г… √дџжб«њ,г« Џ«’г… “нг»«»жнњ,0
г« √егн… «” ќѕ«г ж«ён «б‘г” бб»‘—… «бѕедн…њ,г« Ё«∆ѕ… ж«ён «б‘г” бб»‘—…њ,0
г« Ў—нё…  Ќ÷н— «б“б«»н…њ,янЁ «Ќ÷— «б“б«»н…њ,1
янЁ «Ќ÷— ќ÷«— ”ж не гЏ «бѕћ«ћњ,гд Ў—ё  Ќ÷н— ќ÷«— ”ж не гЏ «бѕћ«ћњ,1
г« √дж«Џ «б’н«гњ,г« ен √дж«Џ «б’жгњ,1
янЁ н г  ’днЏ «бж—ё гня«днян«рњ,янЁ н г  ’днЏ «бж—ё янгн«∆н«рњ,0
янЁ «Ќ÷— Ќб«ж… «бћ»д «бЌгжн…њ,гд Ў—ё  Ќ÷н— «бЌб«ж… «бЌгжн…њ,0
г« гжёЏ «бггбя… «б√—ѕдн… «бе«‘гн…њ,г« нЌѕ «б«—ѕд гд «б‘г«бњ,0
г м √жёЁ  ‘—я… джян« «” ќѕ«г дў«г «б ‘џнб ”нг»н«дњ,г м  жёЁ «бЏгб »дў«г  ‘џнб ”нг»н«дњ,1
г« «б‘—жЎ «б н нћ» гЏ—Ё  е« ё»б «б«ё —«÷ њ,гд «дж«Џ «бё—ж÷ њ,0
г« ен  Џбнг«  бџ…  SQL,г« √ег  Џбнг«  бџ… SQL,1
гд Ў—ё  Ќ÷н— яня… «бћ“— »«б“»«ѕнњ,гд Ў—ё  Ќ÷н— яня… «бћ“—  њ,0
г« ен дж»… «б—жг« н“гњ,г« ен «бЌг…њ,0
г« ен Џ«’г… бн ж«дн«њ,г« «”г Џ«’г… бнќ д‘ «ндњ,0
г« «бгё’жѕ » яджбжћн« «бгЏбжг« њ,г« ен  яджбжћн« «бгЏбжг« њ,1
г« ен Џ«’г… «б»ж”д… ж«бе—”яњ,г« «”г Џ«’г… »бћнян«њ,0
г« Џб«ё… «бгн—гн… » √ќн— «б‘нќжќ… Ён «б»‘—…њ,еб  ”«Џѕ «бгн—гн… Ён «б ќб’ гд «б ћ«Џнѕњ,1
бг«–« ”гн  гж”яж »е–« «б«”гњ,г« ”»»  ”гн… гж”яжњ,1
г« ен «ббџ… «б—”гн… Ён џж«дџѕждџњ,г« «”г «ббџ… «б—”гн… Ён ёж«дџ‘нњ,0
г« еж «б »жн÷њ,г« ен «б«»«÷…њ,1
г« ен Џ«’г… —ж«дѕ«њ,г« Џ«’г… —ж«дѕ«њ,1
г« Ў—нё…  Ќ÷н—   яня… «б»” « Ёбж—«њ,гд Ў—ё  Ќ÷н—  Ў—нё… ≈Џѕ«ѕ «бяняњ,0
г« «бЁ«∆ѕ… гд «б ”жнё Џ»— гж«ёЏ «б ж«’ «б«ћ г«Џнњ,г« «бгё’жѕ »«б ”жнё Џ»— гж«ёЏ «б ж«’б «б≈ћ г«Џнњ,0
г«–« √” Ёнѕ гд Џгб Ќг«г »ќ«— бжћенњ,г« «бЁж«∆ѕ гд Џгб Ќг«г »ќ«— ббжћењ,1
г« Ў—нё…  Ќ÷н— —жб«  «б жд… њ,янЁ «Ќ÷— —жб«  «б жд…њ,1
г«–« нгяд «д нёѕг «бгж«Ўднд « ћ«е «бжЎдњ,г« «бЏб«ё… »нд «бЌ—н… ж «б«” ё—«— жЌ» «бжЎдњ,0
янЁ «Ќ÷— «бгћѕ—… »«б»—џбњ,гд Ў—ё  Ќ÷н— «б»—џбњ,0
гд Ў—ё  Ќ÷н— ЁЎн—… «б—ш«Џн њ,гд Ў—ё  Ќ÷н— ЁЎн—…њ,0
г« еж «бгд«ќ «бЏ«г бб√—ѕдњ,г« гд«ќ «б√—ѕд ’нЁ«р ж‘ «Ѕрњ,1
г« ”»» «б»‘—… «бѕедн…њ,г« ен √”»«» «б»‘—… «бгќ бЎ…њ,0
янЁ «Ќ÷— я«”«   ‘н“ яня «бѕ«нћ” Ё ж«бя—“њ,гд Ў—ё  Ќ÷н— я«”«   ‘н“ яня «бѕ«нћ” Ё ж«бя—“њ,1
г м н’ѕ— «б÷ЁѕЏ ’ж «рњ,",г« «б«ќ б«Ё »нд ёб» «б÷ЁѕЏ ж«б≈д”«дњ ",0
г«–« дЏдн »«бг—«”б«  «б«ѕ—«н… њ,г« ен ќ’«∆’ «бг—«”б«  «б«ѕ—«н… њ,0
Ён √н Џ«г  г «ќ —«Џ ¬б…  ’жн— «бяжѕ«яњ,г« ен ¬б…  ’жн— «бяжѕ«яњ,0
г« ен г÷«ЏЁ«  Ќ’м «бг—«—…њ,г« ен г÷«ЏЁ«  Ќ’ж«  «бг—«—…њ,1
янЁ  ƒЋ— «бёеж… Џбм «бя«б”нжг Ён «бћ”гњ,г« Џб«ё… «бёеж… »«бя«б”нжг «бгжћжѕ Ён «бћ”гњ,1
г« еж «б«”г «б√’бн бћ“н—… ”ёЎ—мњ,√нд  ёЏ ћ“н—… ”ёЎ—мњ,0
г« ен ќбЎ… «бг«нждн“ б Ўжнб «б‘Џ—њ,г« ен Ў—нё… «бг«нждн“ б Ўжнб «б‘Џ—њ,1
г« ен «бќЎж«  «бб«“г… бЏгб ёд«Џ ббжћењ,√ег г«”я«  «б‘Џ—,0
г« д”»… «д ‘«— «бѕн«д… «бг”нЌн… Ён ћ“н—… Ёнћнњ,г« ен «бд”»… «бг∆жн… б≈д ‘«— «бг”нЌн… Ён ћ“н—… Ёнћнњ,1
г« ен √яЋ— ё«—… «Ќ ж«∆«р ббћ»«бњ,г« ен «бё«—… «б√яЋ— «д ‘«—«р ббћ»«б Ёне«њ,1
г« «”г Џ«’г… бн»н«њ,г« ен «ббџ… «б—”гн… ббн»н«њ,0
г«  Џ—нЁ «б’д«Џ… њ,гд «еѕ«Ё «б’д«Џ… њ,0
г« ѕж— «б яджбжћн« Ён  Ўж— г” жм «бгЏбгњ,еб  Ўж— «б яджбжћн« гд г” жм «бгЏбг Ён гћ«б «б Џбнгњ,1
г«  Џ—нЁ ”н«Ќ… «б ћж«бњ,г« ен «б”н«Ќ… «бЋё«Ён…њ,0
янЁ √ёжн Џ÷б«  «бнѕнд ж«бя Ёндњ,янЁ √ёжн Џ÷б«  «б’ѕ—њ,0
»г«–«  ” ќѕг  ёдн… «бгЏбжг« њ,Ён √н гћ«б«   ѕќб  ёдн… «бгЏбжг« њ,1
г« еж гЎбЏ гЏбё… Џд —… »д ‘ѕш«ѕњ,г« еж гЎбЏ гЏбё… Џд —… »д ‘ѕш«ѕњ,1
гд Ў—ё  Ќ÷н— я» яня гбждњ,гд Ў—ё  Ќ÷н— я» яня  њ,0
янЁ «Ќ÷—  «бнёЎнд »«бЎЌндн…њ,гд Ў—ё  Ќ÷н—  «бнёЎнд њ,0
г« еж «б —ян» «бенябн Ён ёж«Џѕ «б»н«д« њ,г«–« дЏдн »«б —ян» «бенябн Ён ёж«Џѕ «б»н«д« њ,1
г« ен «Џ—«÷ Ёё— «бѕг «бг ёѕг…њ,г« «Џ—«÷ Ёё— «бѕг «бг“гд…њ,0
г« ен «бѕж«ћд њ,гд «дж«Џ «бѕж«ћд њ,0
г« «бѕжб «б н  Ќѕ «бћ“«∆— гд «бће«  «б√—»Џњ,г« «”г √ег «бг— ЁЏ«  «б√Ўб”н… Ён «бћ“«∆—њ,0
г« еж «бё—÷ г ж”Ў «б√ћбњ,гд «дж«Џ «бё—ж÷ њ,0
г« Ў—нё…  Ќ÷н— «б“е—… «бгуёбнуш… Џбм «бЎ—нё… «бг’—нш…њ,янЁ «Ќ÷— «б“е—… «бгуёбнуш… Џбм «бЎ—нё… «бг’—нш…њ,1
г м Ќ’б  гёѕждн« Џбм «” ёб«бе« «бЌёнёнњ,Ён √н Џ«г «” ё«б  гёѕждн« «” ёб«б«р Ќёнён«рњ,1
гд Ў—ё  Ќ÷н— Џћш… «бЁЎ— »«б»’бњ,гд Ў—ё  Ќ÷н— Џћш… «бЁЎ— њ,0
г«–« нЌѕ днћн—н« гд «бџ—»њ,г« ен ѕн«д… днћн—н« «б—”гн…њ,0
г« жўнЁ… «б»Ўнд Ён ёб» «б÷ЁѕЏњ,г« √егн… «б÷ќ «бѕгжн Џдѕ «б÷ЁѕЏњ,0
г« Ў—нё…  Ќ÷н— «б —«нЁб »«б»”яжн  ж«бя«” —ѕњ,гд Ў—ё  Ќ÷н— «б —«нЁб »«б»”яжн  ж«бя«” —ѕњ,1
гд Ў—ё  Ќ÷н—  Ќбжм г«ежњ,гд Ў—ё  Ќ÷н—  Ќбжм «бЏнѕњ,0
яг н’б Ўжб «бЌѕжѕ «б»—н… бг’—њ,г« еж Ўжб «бЌѕжѕ «б»—н бг’—њ,1
г« √егн…  яджбжћн« «б Џбнгњ,янЁ д” Ёнѕ гд «б яджбжћн« Ён «б Џбнг «бгѕ—”нњ,1
бг«–« ”гн  «бё—н… «б —«∆н… »е–« «б«”гњ,г« ”»»  ”гн… «бё—н… «б —«Ћн… «бяжн н… »е–« «б«”гњ,1
г« Ў—нё…  Ќ÷н— ЁЎ¬∆— «б»н»—ждн њ,гд Ў—ё  Ќ÷н— ЁЎ¬∆— «б»н»—жднњ,1
г«–« дё’ѕ »«бё‘Ў…њ,гд Ў—ё  Ќ÷н—   «бё‘Ў…њ,0
г« Ў—нё…  Ќ÷н— яня… «бя«я«ж »ѕжд »н÷ њ,янЁ «Ќ÷— яня… «бя«я«ж »ѕжд »н÷њ,1
г« Џѕѕ Ўж«»ё ≈д —д«‘жд«б яжгн—” ”д —њ,г м √хЁ  Ќ ≈д —д«‘жд«б яжгн—” ”д —њ,0
г« Ў—нё…  Ќ÷н— яня… «б»Ў«Ў« «бЌбж… гЏ ћж“ «б»ё«д њ,гд Ў—ё  Ќ÷н— яня… «б»Ў«Ў« њ,0
г« еж гЎбЏ гЏбё… б»нѕ »д √»н —»нЏ…њ,г« еж гЎбЏ гЏбё… б»нѕ »д √»н —»нЏ…њ,0
г« «ег «бд’«∆Ќ ё»б «бгё«»б… «б‘ќ’н… њ,г«–« дё’ѕ »«бгё«»б… «б‘ќ’н… њ,0
г«–« дё’ѕ »«б ÷ќг «б—яжѕнњ,г« еж «б ÷ќг њ,0
г« ен Ў—нё… Џгб ѕ—«”… «бћѕжмњ,г« ен ќЎж«  ѕ—«”… «бћѕжмњ,1
Ён √н Џ«г  г ÷г бн»н« ббѕжб… «бЏ»«”н…њ,яг Џѕѕ ”я«д бн»н«њ,0
г« еж «б«”г «б–н  хбё» »е ё«—… √ж—ж»«њ,г« еж бё» ё«—… ¬”н«њ,0
г« ен «бЏгб… «б—”гн… б√г—ня«њ,г« «б”»» «б–н нЏжѕ Ён «Џ »«—√г—ня« гд √я»— «бёжм «б≈ё ’«ѕн… Џ«бгн«рњ,0
г«–« дЏдн »«б”—ѕ «бг ”б”бњ,г« «беѕЁ гд Ёд «б”—ѕњ,0
яг  »бџ г”«Ќ… ”жё е«—жѕ“њ,бг«–« ндѕЁё «бг∆«  нжнг«р б”жё е«—ѕжд“њ,0
янЁ  ’»Ќ »‘— н ’«Ёнш…њ,янЁ √Џ—Ё бжд »‘— нњ,0
гд «б–н «я ‘Ё ё«—… √ж—ж»«њ,гд ен Ћ«бЋ √я»— «бё«—«  г”«Ќ…рњ,0
г« еж Џбг «бћџ—«Ён«њ,г«  Џ—нЁ Џбг «бћџ—«Ён«њ,1
бг«–«  ѕ—” «бгЌ«”»… њ,г« ен √егн… «бгЌ«”»…њ,1
гд Ў—ё  Ќ÷н— ”я— »«—нњ,гд Ў—ё  Ќ÷н— «б”я—њ,0
√нд  ёЏ ћгеж—н… ”дџ«Ёж—…њ,г« еж √я»— гнд«— »Ќ—н Ён «бгдЎё… «бћдж»н… «б‘—ён… бё«—… ¬”н«њ,0
г« Ў—нё…  Ќ÷н— «б»ж—я »«б”»«дќ ж«бћ»д…њ,гд Ў—ё  Ќ÷н— «б»ж—я »«б”»«дќ ж«бћ»д…њ,1
гд «ё”«г «бё—ж÷ Ќ”» «бгѕ… «б“гдн… њ,гд «дж«Џ «бё—ж÷ њ,0
еб нЁнѕ Ќг«г «б»ќ«— »‘—… «бжћењ,еб гд «б÷—ж—н Џгб Ќг«г »ќ«— ббжћењ,1
гд Ў—ё  Ќ÷н—  ЁЎ— »«б√Џ‘«»њ,гд Ў—ё  Ќ÷н— «бЁЎ—   њ,0
г« ен Џгб… яж«б«бг»ж—њ,г« ен √»—“ «б√Ќѕ«Ћ «б «—нќн… Ён г«бн“н«њ,0
г« ен «”»«» Ёёѕ«д «бжЏнњ,г« ен «”»«» «бџн»ж»…њ,1
гд еж гЎж— «бжн»њ,г« еж «бжн»њ,0
г« Ў—нё…  Ќ÷н—  Ўен «бќ—‘жЁ њ,гд Ў—ё  Ќ÷н—  Ўен «бќ—‘жЁњ,1
янЁ «Ќ÷— Ќбм «б√д«д«” ж«бя—нг я—«гнбњ,гд Ў—ё  Ќ÷н— ћбж «б√д«д«”  њ,0
г« «б–н нѕЁЏ г” ќѕг дў«г «б√дѕ—жнѕ ббён«г »÷»Ў «бг’дЏњ,г« еж дў«г «б√дѕ—жнѕњ,0
г« еж «бЏѕѕ «б ёѕн—н бЏѕѕ ”я«д «бћ“«∆—њ,еб «ббџ… «бЁ—д”н… ен «ббџ… «б—”гн… Ён «бћ“«∆—њ,0
г« «”г Џ«’г… гжд«яжњ,г« «”г Џ«’г… гжбѕ«Ён«њ,0
яг  »бџ г”«Ќ… ё«—… √ж—ж»«њ,г« ен г”«Ќ… ё«—… ¬”н«њ,0
г« ен «бг’«ѕ— «бџ–«∆н… бЁн «гнд ѕњ,еб Ён «гнд ѕ г ж«ћѕ Ён «бЎЏ«гњ,1
г« Ў—нё…  Ќ÷н— ”бЎ… «б»—жябнњ,гд Ў—ё  Ќ÷н— ”бЎ… «б»—жябнњ,1
янЁ «Ќ÷—  яня «б—гбњ,гд Ў—ё  Ќ÷н—  яня «б—гбњ,1
√нд  ёЏ ё«—… √г—ня« «б‘г«бн…њ,яг  »бџ г”«Ќ… ё«—… √ж—ж»«њ,0
яг н’б «— Ё«Џ ёг… ћ»б  жг«днЁн Ён ћ“н—… Ёнћнњ,г« «— Ё«Џ √Џбм ёг… Ён ћ“н—… Ёнћнњ,1
г« ен  ÷«—н” —ж”н« Ён «бё”г «бџ—»нњ,√нд нёЏ г ЌЁ «б√—гн «ћњ,0
яг Џѕѕ ”—«н« «б—”жбњ,г« ен ”—«н« «б—”жбњ,0
г« ен √ег «бж’Ё«  «бЎ»нЏн… б ”гнд «бќѕжѕњ,г« √яЋ— «бж’Ё«  «бЎ»нЏн… «бг” ќѕг… б ”гнд «бќѕжѕњ,1
г« ен «б√Ёб«г «б н √д ћ е« ж«б  ѕн“дн »Џѕ ¬бн” Ён »б«ѕ «бЏћ«∆»њ,г« «б‘ќ’н«  «б н √д ћ е« ж«б  ѕн“дн »Џѕ √бн” Ён »б«ѕ «бЏћ«∆»њ,1
г« еж Џб«ћ «бё—Ќ… «бгЏѕн…њ,г« еж Џб«ћ ё—Ќ… «бгЏѕ…њ,1
гд «ќ —Џ «бе« Ё «б√—÷нњ,г« ггн“«  «бе« Ё «б√—÷нњ,0
г« «б«”г «б–н «‘ е—  »е ћ“н—… е«н н Џдѕ ”я«д  «нджњ,г« «”г ћ“н—… е«н н «б–н я«д   хд«ѕм »е гд ё»б ”я«д  «нджњ,1
г«–« дё’ѕ »«бё—ж÷ «б‘ќ’н…њ,г«–« дё’ѕ »«бё—ж÷ њ,0
г«–« дё’ѕ »«бдў«г «бгЌ«”»н њ,г« еж «бдў«г «бгЌ«”»н њ,1
янЁ «»ѕ√ г‘—жЏ гд ѕжд —«” г«бњ,г« янЁн… »ѕ√ г‘—жЏ »ѕжд —«” г«б њ,1
г« Ў—нё…  Ќ÷н— «бг”»шЌ… њ,янЁ «Ќ÷— «бг”»шЌ…њ,1
г«–« дё’ѕ »«б»Ў«б… «б«Ќ я«янш…њ,г« ен «б»Ў«б… њ,0
г« ен Џ«’г… »жбдѕ«њ,г« «”г Џ«’г… »жбдѕ«њ,1
г«–« нЌѕ ѕжб… «бгџ—» «бЏ—»н гд «бће… «б‘г«бн…њ,яг ндЁё «бгџ—» Џбм «бёЎ«Џ «б Џбнгнњ,0
гд ед “жћ«  «б—”жбњ,г« «”г«Ѕ џ“ж«  «б—”жбњ,0
бгуд »хдн  гѕнд… г« ‘ж »н ‘жњ,г« «— Ё«Џ «бёг… «б н нЎб Џбне« г« ‘ж »н ‘жњ,0
г« ен ё—ж÷ «бЏё«—« њ,гд «дж«Џ «бё—ж÷ њ,0
г« √егн… ’ж— «б”нбЁнњ,г« «б√егн… «б н  ёѕге« ’ж— «б”нбЁнњ,1
г« Ў—нё…  Ќ÷н— ’б’… «б»‘«гнб »‘ж—»… «бѕћ«ћњ,янЁ «Ќ÷— ’б’… «б»‘«гнб »‘ж—»… «бѕћ«ћњ,1
